MonsterName,AttackName,isMelee,isRanged,isWeapon,isSpell,toHitBonus,reach,range,rangeMax,numberTargets,damageAverage,damageDice,damageType
Adult Bronze Dragon,Lightning Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Bronze Dragon,Repulsion Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Copper Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Copper Dragon,Bite,True,False,True,False,11,10,None,None,1,17,2d10+6,piercing
Adult Copper Dragon,Claw,True,False,True,False,11,5,None,None,1,13,2d6+6,slashing
Adult Copper Dragon,Tail,True,False,True,False,11,15,None,None,1,15,2d8+6,bludgeoning
Adult Copper Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult Copper Dragon,Acid Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Copper Dragon,Slowing Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Gold Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Gold Dragon,Bite,True,False,True,False,14,10,None,None,1,19,2d10+8,piercing
Adult Gold Dragon,Claw,True,False,True,False,14,5,None,None,1,15,2d6+8,slashing
Adult Gold Dragon,Tail,True,False,True,False,14,15,None,None,1,17,2d8+8,bludgeoning
Adult Gold Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult Gold Dragon,Fire Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Gold Dragon,Weakening Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Green Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Green Dragon,Bite,True,False,True,False,11,10,None,None,1,17,2d10+6,piercing
Adult Green Dragon,Claw,True,False,True,False,11,5,None,None,1,13,2d6+6,slashing
Adult Green Dragon,Tail,True,False,True,False,11,15,None,None,1,15,2d8+6,bludgeoning
Adult Green Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult Green Dragon,Poison Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Red Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Red Dragon,Bite,True,False,True,False,14,10,None,None,1,19,2d10+8,piercing
Adult Red Dragon,Claw,True,False,True,False,14,5,None,None,1,15,2d6+8,slashing
Adult Red Dragon,Tail,True,False,True,False,14,15,None,None,1,17,2d8+8,bludgeoning
Adult Red Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult Red Dragon,Fire Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Silver Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult Silver Dragon,Bite,True,False,True,False,13,10,None,None,1,19,2d10+8,piercing
Adult Silver Dragon,Claw,True,False,True,False,13,5,None,None,1,15,2d6+8,slashing
Adult Silver Dragon,Tail,True,False,True,False,13,15,None,None,1,17,2d8+8,bludgeoning
Adult Silver Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult Silver Dragon,Cold Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Adult Silver Dragon,Paralyzing Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Adult White Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Adult White Dragon,Bite,True,False,True,False,11,10,None,None,1,17,2d10+6,piercing
Adult White Dragon,Claw,True,False,True,False,11,5,None,None,1,13,2d6+6,slashing
Adult White Dragon,Tail,True,False,True,False,11,15,None,None,1,15,2d8+6,bludgeoning
Adult White Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Adult White Dragon,Cold Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Air Elemental,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Air Elemental,Wind Lash,True,False,True,False,8,5,None,None,1,18,3d8+5,bludgeoning
Air Elemental,Lightning Bolt,False,True,True,False,8,None,30,120,1,18,3d8+5,lightning
Air Elemental,Whirlwind (Recharge 4-6),False,False,False,False,0,None,None,None,0,None,None,None
Ambush Hag,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ambush Hag,Claw,True,False,True,False,8,5,None,None,1,13,2d8+4,slashing
Ambush Hag,Poison Spray,False,True,False,True,8,None,60,None,1,22,4d8+4,poison
Ambush Hag,Spellcasting,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Black Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Black Dragon,Bite,True,False,True,False,15,15,None,None,1,20,2d10+9,piercing
Ancient Black Dragon,Claw,True,False,True,False,15,10,None,None,1,16,2d6+9,slashing
Ancient Black Dragon,Tail,True,False,True,False,15,20,None,None,1,18,2d8+9,bludgeoning
Ancient Black Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Black Dragon,Acid Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Blue Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Blue Dragon,Bite,True,False,True,False,15,15,None,None,1,20,2d10+9,piercing
Ancient Blue Dragon,Claw,True,False,True,False,15,10,None,None,1,16,2d6+9,slashing
Ancient Blue Dragon,Tail,True,False,True,False,15,20,None,None,1,18,2d8+9,bludgeoning
Ancient Blue Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Blue Dragon,Lightning Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Brass Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Brass Dragon,Bite,True,False,True,False,14,15,None,None,1,19,2d10+8,piercing
Ancient Brass Dragon,Claw,True,False,True,False,14,10,None,None,1,15,2d6+8,slashing
Ancient Brass Dragon,Tail,True,False,True,False,14,20,None,None,1,17,2d8+8,bludgeoning
Ancient Brass Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Brass Dragon,Fire Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Brass Dragon,Sleep Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Bronze Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Bronze Dragon,Bite,True,False,True,False,15,15,None,None,1,20,2d10+9,piercing
Ancient Bronze Dragon,Claw,True,False,True,False,15,10,None,None,1,16,2d6+9,slashing
Ancient Bronze Dragon,Tail,True,False,True,False,15,20,None,None,1,18,2d8+9,bludgeoning
Ancient Bronze Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Bronze Dragon,Lightning Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Bronze Dragon,Repulsion Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Copper Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Copper Dragon,Bite,True,False,True,False,15,15,None,None,1,19,2d10+8,piercing
Ancient Copper Dragon,Claw,True,False,True,False,15,10,None,None,1,15,2d6+8,slashing
Ancient Copper Dragon,Tail,True,False,True,False,15,20,None,None,1,17,2d8+8,bludgeoning
Ancient Copper Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Copper Dragon,Acid Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Copper Dragon,Slowing Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Gold Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Gold Dragon,Bite,True,False,True,False,17,15,None,None,1,21,2d10+10,piercing
Ancient Gold Dragon,Claw,True,False,True,False,17,10,None,None,1,17,2d6+10,slashing
Ancient Gold Dragon,Tail,True,False,True,False,17,20,None,None,1,19,2d8+10,bludgeoning
Ancient Gold Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Gold Dragon,Fire Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Gold Dragon,Weakening Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Green Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Green Dragon,Bite,True,False,True,False,15,15,None,None,1,19,2d10+8,piercing
Ancient Green Dragon,Claw,True,False,True,False,15,10,None,None,1,22,4d6+8,slashing
Ancient Green Dragon,Tail,True,False,True,False,15,20,None,None,1,17,2d8+8,bludgeoning
Ancient Green Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Green Dragon,Poison Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Red Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Red Dragon,Bite,True,False,True,False,17,15,None,None,1,21,2d10+10,piercing
Ancient Red Dragon,Claw,True,False,True,False,17,10,None,None,1,17,2d6+10,slashing
Ancient Red Dragon,Tail,True,False,True,False,17,20,None,None,1,19,2d8+10,bludgeoning
Ancient Red Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Red Dragon,Fire Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Silver Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Silver Dragon,Bite,True,False,True,False,17,15,None,None,1,21,2d10+10,piercing
Ancient Silver Dragon,Claw,True,False,True,False,17,10,None,None,1,17,2d6+10,slashing
Ancient Silver Dragon,Tail,True,False,True,False,17,20,None,None,1,19,2d8+10,bludgeoning
Ancient Silver Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient Silver Dragon,Cold Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient Silver Dragon,Paralyzing Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Ancient White Dragon,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ancient White Dragon,Bite,True,False,True,False,14,15,None,None,1,19,2d10+8,piercing
Ancient White Dragon,Claw,True,False,True,False,14,10,None,None,1,15,2d6+8,slashing
Ancient White Dragon,Tail,True,False,True,False,14,20,None,None,1,17,2d8+8,bludgeoning
Ancient White Dragon,Frightful Presence,False,False,False,False,0,None,None,None,0,None,None,None
Ancient White Dragon,Cold Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Androsphinx,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Androsphinx,Claw,True,False,True,False,12,5,None,None,1,17,2d10+6,slashing
Androsphinx,Arcane Bolt,False,True,False,True,12,None,120,None,1,24,4d8+6,force
Androsphinx,Spellcasting,False,False,False,False,0,None,None,None,0,None,None,None
Animated Armor,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Animated Armor,Slam,True,False,True,False,4,5,None,None,1,6,1d8+2,bludgeoning
Ankheg,Bite,True,False,True,False,5,5,None,None,1,10,2d6+3,slashing
Ankheg,Acid Spray (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Ape,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ape,Fist,True,False,True,False,5,5,None,None,1,5,1d4+3,bludgeoning
Ape,Rock,False,True,True,False,5,None,25,50,1,7,1d8+3,bludgeoning
Ape, Giant,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Ape, Giant,Fist,True,False,True,False,8,10,None,None,1,27,4d10+5,bludgeoning
Ape, Giant,Rock,False,True,True,False,8,None,50,100,1,23,4d8+5,bludgeoning
Archdruid,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Archdruid,Thorned Staff,True,False,True,False,7,None,None,None,1,10,2d6+3,piercing
Archdruid,Nature's Wrath,False,True,False,True,9,None,120,None,1,27,5d8+5,cold
Archdruid,Spellcasting,False,False,False,False,0,None,None,None,0,None,None,None
Archmage,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Archmage,Arcane Blast,True,True,False,True,9,5,60,None,1,27,4d10+5,force
Archmage,Burst of Magic (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Archmage,Spellcasting,False,False,False,False,0,None,None,None,0,None,None,None
Assassin,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Assassin,Shortsword,True,False,True,False,6,5,None,None,1,6,1d6+3,piercing
Assassin,Hand Crossbow,False,True,True,False,6,None,30,120,1,6,1d6+3,piercing
Awakened Shrub,Rake,True,False,True,False,2,5,None,None,1,2,1d4,slashing
Awakened Shrub,Thorn,False,True,True,False,2,None,15,30,1,2,1d4,piercing
Awakened Tree,Slam,True,False,True,False,6,10,None,None,1,22,4d8+4,bludgeoning
Awakened Tree,Broken Branch,False,True,True,False,6,None,20,60,1,18,4d6+4,piercing
Axe Beak,Beak,True,False,True,False,4,5,None,None,1,6,1d8+2,slashing
Azer,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Azer,Warhammer,True,False,True,False,5,5,None,None,1,7,1d8+3,bludgeoning
Baboon,Bite,True,False,True,False,3,5,None,None,1,3,1d4+1,piercing
Badger,Bite,True,False,True,False,2,5,None,None,1,2,1d4,piercing
Badger, Giant,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Badger, Giant,Bite,True,False,True,False,3,5,None,None,1,4,1d6+1,piercing
Badger, Giant,Claws,True,False,True,False,3,5,None,None,1,3,1d4+1,slashing
Balara,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Balara,Bite,True,False,True,False,6,5,None,None,1,16,3d8+3,piercing
Balara,Claw,True,False,True,False,6,5,None,None,1,13,3d6+3,slashing
Balara,Necrotic Bolt,False,True,False,True,5,None,60,None,1,15,3d8+2,necrotic
Balor,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Balor,Gore,True,False,True,False,14,10,None,None,1,15,2d6+8,piercing
Balor,Longsword,True,False,True,False,14,10,None,None,1,21,3d8+8,slashing
Balor,Whip,True,False,True,False,14,30,None,None,1,15,3d4+8,slashing
Bandit,Scimitar,True,False,True,False,3,5,None,None,1,4,1d6+1,slashing
Bandit,Light Crossbow,False,True,True,False,3,None,80,320,1,5,1d8+1,piercing
Bandit Captain,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bandit Captain,Dagger,True,True,True,False,6,5,20,60,1,6,1d4+4,piercing
Bandit Captain,Scimitar,True,False,True,False,6,5,None,None,1,7,1d6+4,slashing
Barbed Devil,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Barbed Devil,Claw,True,False,True,False,6,5,None,None,1,10,2d6+3,piercing
Barbed Devil,Tail,True,False,True,False,6,5,None,None,1,12,2d8+3,piercing
Barbed Devil,Hurl Flame,False,True,False,True,5,None,150,None,1,12,3d6+2,fire
Bard,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bard,Rapier,True,False,True,False,6,None,None,None,1,7,1d8+3,piercing
Bard,Hand Crossbow,False,True,True,False,6,None,30,120,1,6,1d6+3,piercing
Bard,Dissonant Outburst (Recharge 4-6),False,False,False,False,0,None,None,None,0,None,None,None
Bard,Spellcasting,False,False,False,False,0,None,None,None,0,None,None,None
Basilisk,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Basilisk,Bite,True,False,True,False,5,5,None,None,1,7,1d8+3,piercing
Basilisk,Poison Spit,False,True,True,False,5,None,20,60,1,13,3d6+3,poison
Bat,Bite,True,False,True,False,3,5,None,None,1,3,1d4+1,piercing
Bat, Giant,Bite,True,False,True,False,4,5,None,None,1,5,1d6+2,piercing
Bat, Swarm of Bats,Bites,True,False,True,False,4,0,None,None,1,None,None,None
Bear, Black,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bear, Black,Bite,True,False,True,False,4,5,None,None,1,5,1d6+2,piercing
Bear, Black,Claws,True,False,True,False,4,5,None,None,1,4,1d4+2,slashing
Bear, Brown,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bear, Brown,Bite,True,False,True,False,6,5,None,None,1,8,1d8+4,piercing
Bear, Brown,Claws,True,False,True,False,6,5,None,None,1,9,2d4+4,slashing
Bear, Polar,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bear, Polar,Bite,True,False,True,False,7,5,None,None,1,9,1d8+5,piercing
Bear, Polar,Claws,True,False,True,False,7,5,None,None,1,12,2d6+5,slashing
Bearded Devil,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bearded Devil,Beard Spines,True,False,True,False,5,5,None,None,1,8,2d4+3,piercing
Bearded Devil,Glaive,True,False,True,False,5,10,None,None,1,8,1d10+3,slashing
Behir,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Behir,Bite,True,False,True,False,10,10,None,None,1,22,3d10+6,piercing
Behir,Constrict,True,False,True,False,10,5,None,None,1,None,None,None
Behir,Swallow,False,False,False,False,0,None,None,None,0,None,None,None
Behir,Lightning Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Berserker,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Berserker,Greataxe,True,False,True,False,6,5,None,None,1,10,1d12+4,slashing
Black Dragon Wyrmling,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Black Dragon Wyrmling,Bite,True,False,True,False,5,5,None,None,1,8,1d10+3,piercing
Black Dragon Wyrmling,Claw,True,False,True,False,5,5,None,None,1,6,1d6+3,slashing
Black Dragon Wyrmling,Acid Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Black Pudding,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Black Pudding,Pseudopod,True,False,True,False,5,5,None,None,1,6,1d6+3,bludgeoning
Blink Dog,Bite,True,False,True,False,5,5,None,None,1,6,1d6+3,piercing
Blink Dog,Teleport (Recharge 4-6),False,False,False,False,0,None,None,None,0,None,None,None
Bloatblossom,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bloatblossom,Bite,True,False,True,False,5,5,None,None,1,6,1d6+3,piercing
Bloatblossom,Slam,True,False,True,False,5,5,None,None,1,6,1d6+3,bludgeoning
Bloatblossom,Toxic Nodule,False,True,True,False,5,None,30,60,1,12,2d8+3,poison
Blue Dragon Wyrmling,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Blue Dragon Wyrmling,Bite,True,False,True,False,5,5,None,None,1,8,1d10+3,piercing
Blue Dragon Wyrmling,Claw,True,False,True,False,5,5,None,None,1,6,1d6+3,slashing
Blue Dragon Wyrmling,Lightning Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Boar,Tusk,True,False,True,False,4,5,None,None,1,5,1d6+2,slashing
Boar, Giant,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Boar, Giant,Tusk,True,False,True,False,5,5,None,None,1,10,2d6+3,slashing
Bone Devil,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bone Devil,Claw,True,False,True,False,8,5,None,None,1,17,3d8+4,slashing
Bone Devil,Sting,True,False,True,False,8,10,None,None,1,15,2d10+4,piercing
Brass Dragon Wyrmling,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Brass Dragon Wyrmling,Bite,True,False,True,False,4,5,None,None,1,7,1d10+2,piercing
Brass Dragon Wyrmling,Claw,True,False,True,False,4,5,None,None,1,5,1d6+2,slashing
Brass Dragon Wyrmling,Fire Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Brass Dragon Wyrmling,Sleep Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Bronze Dragon Wyrmling,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bronze Dragon Wyrmling,Bite,True,False,True,False,5,5,None,None,1,8,1d10+3,piercing
Bronze Dragon Wyrmling,Claw,True,False,True,False,5,5,None,None,1,6,1d6+3,slashing
Bronze Dragon Wyrmling,Lightning Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Bronze Dragon Wyrmling,Repulsion Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Bugbear,Spiked Club,True,False,True,False,5,5,None,None,1,12,2d8+3,piercing
Bugbear,Javelin,True,True,True,False,6,5,30,120,1,11,2d6+4,piercing
Bugbear Champion,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bugbear Champion,Spiked Club,True,False,True,False,6,5,None,None,1,13,2d8+4,piercing
Bugbear Champion,Shield Smash,True,False,True,False,6,5,None,None,1,9,2d4+4,bludgeoning
Bugbear Champion,Javelin,True,True,True,False,5,5,30,120,1,10,2d6+3,piercing
Bulette,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Bulette,Bite,True,False,True,False,7,5,None,None,1,20,3d10+4,piercing
Bulette,Deadly Leap (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Camel,Bite,True,False,True,False,4,5,None,None,1,4,1d4+2,bludgeoning
Camel,Bile Spit,False,True,True,False,2,None,20,60,1,2,1d4,acid
Cat,Claws,True,False,True,False,3,5,None,None,1,3,1d4+1,slashing
Centaur,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Centaur,Hooves,True,False,True,False,6,5,None,None,1,11,2d6+4,bludgeoning
Centaur,Pike,True,False,True,False,6,10,None,None,1,9,1d10+4,piercing
Centaur,Longbow,False,True,True,False,4,None,150,600,1,6,1d8+2,piercing
Chain Devil,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Chain Devil,Chain,True,False,True,False,7,10,None,None,1,8,1d8+4,slashing
Chimera,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Chimera,Bite,True,False,True,False,7,5,None,None,1,13,2d8+4,piercing
Chimera,Headbutt,True,False,True,False,7,5,None,None,1,10,1d12+4,bludgeoning
Chimera,Claws,True,False,True,False,7,5,None,None,1,11,2d6+4,slashing
Chimera,Fire Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Chuul,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Chuul,Pincer,True,False,True,False,6,10,None,None,1,17,3d8+4,bludgeoning
Chuul,Wild Reach (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Clay Golem,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Clay Golem,Slam,True,False,True,False,9,5,None,None,1,21,3d10+5,bludgeoning
Clay Golem,Haste (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Cloaker,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Cloaker,Bite,True,False,True,False,7,5,None,None,1,18,4d6+4,piercing
Cloaker,Tail,True,False,True,False,7,10,None,None,1,17,3d8+4,slashing
Cloaker,Moan (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Cloud Giant,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Cloud Giant,Cloud-Coated Mace,True,False,True,False,12,10,None,None,1,18,3d6+8,piercing
Cloud Giant,Wind Burst,False,True,False,True,8,None,150,None,1,31,5d10+4,bludgeoning
Cockatrice,Serrated Beak,True,False,True,False,3,5,None,None,1,6,2d4+1,slashing
Commoner,Club,True,False,True,False,2,5,None,None,1,2,1d4,bludgeoning
Commoner,Sling,False,True,True,False,2,None,30,120,1,2,1d4,bludgeoning
Commoner,Angry Mob (1/Day),False,False,False,False,0,None,None,None,0,None,None,None
Copper Dragon Wyrmling,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Copper Dragon Wyrmling,Bite,True,False,True,False,4,5,None,None,1,7,1d10+2,piercing
Copper Dragon Wyrmling,Claw,True,False,True,False,4,5,None,None,1,5,1d6+2,slashing
Copper Dragon Wyrmling,Acid Breath (Recharge 5-6),False,False,False,False,0,None,None,None,0,None,None,None
Copper Dragon Wyrmling,Slowing Breath (Recharge 6),False,False,False,False,0,None,None,None,0,None,None,None
Couatl,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Couatl,Bite,True,False,True,False,7,5,None,None,1,8,1d6+5,piercing
Couatl,Constrict,True,False,True,False,7,10,None,None,1,12,2d6+5,bludgeoning
Couatl,Healing Hiss (3/Day),False,False,False,False,0,None,None,None,0,None,None,None
Crab,Claw,True,False,True,False,2,5,None,None,1,2,1d4,bludgeoning
Crab, Giant,Pincer,True,False,True,False,4,5,None,None,1,5,1d6+2,bludgeoning
Crimson Jelly,Feeding Paddles,True,False,True,False,4,5,None,None,1,5,1d6+2,necrotic
Crocodile,Bite,True,False,True,False,4,5,None,None,1,6,1d8+2,piercing
Crocodile, Giant,Multiattack,False,False,False,False,0,None,None,None,0,None,None,None
Crocodile, Giant,Bite,True,False,True,False,8,5,None,None,1,21,3d10+5,piercing
Crocodile, Giant,Tail,True,False,True,False,8,10,None,None,1,None,None,None
Cultist,Sacrificial Dagger,True,False,True,False,3,5,None,None,1,3,1d4+1,slashing
